Controller,ITAE_1,ITAE_2,ITAE_3,ITAE_total,tauL2_1,tauL2_2,tauL2_3,tauRMS
SMC,0.557539028466827,0.257004328121269,0.0200569749266856,0.834600331514782,76.1631702839154,32.3604118693586,224.114624769207,59.72614052882
STSMC,0.335968960664293,0.175531899833203,0.00756034966045132,0.519061210157948,27.5860542794889,12.5449605948949,157.096581137185,39.9982048284909
ASTSMC,0.183393741763133,0.116568346183278,0.00848039397147098,0.308442481917883,39.0624452512174,18.1069418659641,157.119942699042,40.7280710678244
