Controller,ITAE_1,ITAE_2,ITAE_3,ITAE_total,tauL2_1,tauL2_2,tauL2_3,tauRMS
SMC,0.553186967826127,0.256602634367856,0.009061254052627,0.81885085624661,83.8978374477429,31.7265711529197,179.360963191075,63.4159109075627
STSMC,0.33816077263698,0.281929191001778,0.00778200502489216,0.62787196866365,23.8800038262581,11.5690971382743,127.464894640015,41.1720754358183
ASTSMC,0.188329370377242,0.211896521356296,0.00936950994080088,0.409595401674339,36.6092790200282,17.4828168451421,127.494407554578,42.309233215576
