Controller,ITAE_1,ITAE_2,ITAE_3,ITAE_total,tauL2_1,tauL2_2,tauL2_3,tauRMS
SMC,0.630846368805875,0.255112676075164,0.0121196600788382,0.898078704959877,78.8289566975443,34.173444190645,245.015281609137,64.9106679039929
STSMC,0.395529223332456,0.369711918321615,0.00954458467593333,0.774785726330004,32.2910890678214,14.3844979653761,188.45903193806,47.9364389934295
ASTSMC,0.20611164945236,0.107442648180309,0.0128462513563751,0.326400548989044,48.518359944533,22.3024136209068,188.501564246657,48.9797589753039
