Controller,ITAE_1,ITAE_2,ITAE_3,ITAE_total,tauL2_1,tauL2_2,tauL2_3,tauRMS
SMC,0.55309675915,0.2583615961275,0.00955831684641004,0.82101667212391,72.0321574384248,30.6807688263465,227.934419346275,60.2515771597171
STSMC,0.34866808685369,0.187037934566625,0.00778398053784543,0.543490001958161,28.2948498032864,14.48866024548,162.63442281988,41.4280062933391
ASTSMC,0.204544374981022,0.141622446290965,0.00984231820042813,0.356009139472415,39.5673606286374,19.5065768743713,162.657581553911,42.1333978316487
